iter	Passed	Remaining
802	1432	351
803	1433	349
804	1435	347
805	1436	345
806	1438	343
807	1439	342
808	1441	340
809	1442	338
810	1444	336
811	1445	334
812	1447	332
813	1448	331
814	1450	329
815	1451	327
816	1453	325
817	1454	323
818	1456	321
819	1457	319
820	1459	318
821	1460	316
822	1461	314
823	1463	312
824	1465	310
825	1466	308
826	1468	307
827	1469	305
828	1471	303
829	1472	301
830	1473	299
831	1475	297
832	1476	296
833	1478	294
834	1480	292
835	1481	290
836	1483	288
837	1484	287
838	1486	285
839	1487	283
840	1489	281
841	1490	279
842	1492	277
843	1493	276
844	1495	274
845	1496	272
846	1498	270
847	1499	268
848	1501	267
849	1502	265
850	1503	263
851	1505	261
852	1507	259
853	1508	257
854	1510	256
855	1511	254
856	1513	252
857	1514	250
858	1515	248
859	1517	247
860	1519	245
861	1520	243
862	1522	241
863	1523	239
864	1525	238
865	1526	236
866	1527	234
867	1529	232
868	1530	230
869	1532	228
870	1533	227
871	1535	225
872	1536	223
873	1538	221
874	1539	219
875	1541	218
876	1542	216
877	1544	214
878	1545	212
879	1547	211
880	1548	209
881	1550	207
882	1551	205
883	1553	203
884	1554	202
885	1556	200
886	1557	198
887	1559	196
888	1560	194
889	1562	193
890	1563	191
891	1565	189
892	1566	187
893	1568	185
894	1569	184
895	1571	182
896	1572	180
897	1574	178
898	1575	177
899	1576	175
900	1578	173
901	1579	171
902	1581	169
903	1582	168
904	1584	166
905	1586	164
906	1587	162
907	1589	161
908	1590	159
909	1591	157
910	1593	155
911	1594	153
912	1596	152
913	1597	150
914	1599	148
915	1600	146
916	1602	145
917	1603	143
918	1605	141
919	1606	139
920	1608	137
921	1610	136
922	1611	134
923	1614	132
924	1615	130
925	1617	129
926	1618	127
927	1620	125
928	1621	123
929	1622	122
930	1624	120
931	1626	118
932	1627	116
933	1628	115
934	1630	113
935	1631	111
936	1632	109
937	1634	108
938	1635	106
939	1637	104
940	1639	102
941	1640	101
942	1641	99
943	1643	97
944	1644	95
945	1646	93
946	1647	92
947	1649	90
948	1651	88
949	1652	86
950	1654	85
951	1655	83
952	1657	81
953	1658	79
954	1660	78
955	1661	76
956	1663	74
957	1665	73
958	1666	71
959	1668	69
960	1669	67
961	1671	66
962	1673	64
963	1675	62
964	1676	60
965	1678	59
966	1679	57
967	1681	55
968	1682	53
969	1684	52
970	1685	50
971	1687	48
972	1688	46
973	1690	45
974	1693	43
975	1696	41
976	1698	39
977	1700	38
978	1702	36
979	1704	34
980	1707	33
981	1709	31
982	1711	29
983	1713	27
984	1715	26
985	1717	24
986	1721	22
987	1723	20
988	1725	19
989	1730	17
990	1732	15
991	1734	13
992	1737	12
993	1738	10
994	1740	8
995	1742	6
996	1743	5
997	1745	3
998	1746	1
999	1748	0
